,,,cache_hit_ratio,cache_hit_ratio,cache_hit_ratio,cache_hit_ratio,cache_hits,cache_total_steps
,,,mean,std,min,max,mean,mean
ci_system,tool,cache_scenario,,,,,,
github-actions,buildah,cold,0.0,0.0,0.0,0.0,0.0,6.0
github-actions,buildah,dirty,0.2667,0.1191,0.1667,0.5,1.6667,6.0
github-actions,buildah,warm,0.8074,0.0203,0.7778,0.8333,4.8333,6.0
github-actions,buildkit,cold,0.0,0.0,0.0,0.0,0.0,114.5667
github-actions,buildkit,dirty,0.0392,0.0308,0.0077,0.0909,1.6667,57.1
github-actions,buildkit,warm,0.116,0.0178,0.1,0.15,3.8333,32.5333
github-actions,kaniko,cold,0.0,0.0,0.0,0.0,0.0,3.8333
github-actions,kaniko,dirty,0.0,0.0,0.0,0.0,0.0,3.8333
github-actions,kaniko,warm,0.0,0.0,0.0,0.0,0.0,3.8333
gitlab-ci,kaniko,cold,0.0,0.0,0.0,0.0,0.0,1.0
