,,,cpu_percent,cpu_percent,cpu_percent,cpu_percent
,,,mean,std,min,max
ci_system,tool,cache_scenario,,,,
github-actions,buildah,cold,118.67,35.14,64,172
github-actions,buildah,dirty,110.07,47.96,31,176
github-actions,buildah,warm,40.27,13.8,23,63
github-actions,buildkit,cold,1.9,1.09,0,4
github-actions,buildkit,dirty,10.1,16.17,1,47
github-actions,buildkit,warm,52.6,5.41,41,66
github-actions,kaniko,cold,0.0,0.0,0,0
github-actions,kaniko,dirty,0.0,0.0,0,0
github-actions,kaniko,warm,0.0,0.0,0,0
gitlab-ci,buildah,cold,84.39,18.4,63,116
gitlab-ci,buildah,dirty,75.06,19.61,46,107
gitlab-ci,buildah,warm,66.78,18.37,22,81
gitlab-ci,buildkit,cold,0.0,0.0,0,0
gitlab-ci,buildkit,dirty,0.0,0.0,0,0
gitlab-ci,buildkit,warm,0.0,0.0,0,0
gitlab-ci,kaniko,cold,0.0,0.0,0,0
gitlab-ci,kaniko,dirty,0.0,0.0,0,0
gitlab-ci,kaniko,warm,0.0,0.0,0,0
gitlab-ci-k8s,kaniko,cold,0.0,0.0,0,0
