,,,image_size_bytes,image_size_bytes,image_size_bytes
,,,mean,min,max
tool,service,dockerfile_type,,,
buildah,service-go,baseline,0.0,0,0
buildah,service-go,optimized,0.0,0,0
buildah,service-node,baseline,0.0,0,0
buildah,service-node,optimized,0.0,0,0
buildah,service-python,baseline,0.0,0,0
buildah,service-python,optimized,0.0,0,0
buildkit,service-go,baseline,884083824.0,884071931,884103074
buildkit,service-go,optimized,15156930.0,15155094,15159990
buildkit,service-node,baseline,263285652.0,263178987,263463426
buildkit,service-node,optimized,263285650.0,263178977,263463421
buildkit,service-python,baseline,279513510.0,279505962,279526093
buildkit,service-python,optimized,279513510.0,279505962,279526093
kaniko,service-go,baseline,319911459.0,319871488,319920640
kaniko,service-go,optimized,7985152.0,7985152,7985152
kaniko,service-node,baseline,84324917.0,84253696,84383744
kaniko,service-node,optimized,84326947.0,84256768,84378624
kaniko,service-python,baseline,102194176.0,102141952,102214144
kaniko,service-python,optimized,102197636.0,102144512,102218240
