,,,memory_peak_mb,memory_peak_mb,memory_peak_mb,memory_peak_mb
,,,mean,std,min,max
ci_system,tool,cache_scenario,,,,
github-actions,buildah,cold,216.22,63.02,143.41,309.61
github-actions,buildah,dirty,200.36,91.58,38.32,309.03
github-actions,buildah,warm,34.43,0.94,33.07,36.28
github-actions,buildkit,cold,62.2,2.26,58.93,67.52
github-actions,buildkit,dirty,61.31,2.76,56.22,66.12
github-actions,buildkit,warm,61.34,2.95,54.82,65.71
github-actions,kaniko,cold,0.0,0.0,0.0,0.0
github-actions,kaniko,dirty,0.0,0.0,0.0,0.0
github-actions,kaniko,warm,0.0,0.0,0.0,0.0
github-actions-selfhosted,kaniko,cold,0.0,0.0,0.0,0.0
gitlab-ci,buildah,cold,213.93,62.03,143.55,305.86
gitlab-ci,buildah,dirty,197.06,82.15,53.87,291.47
gitlab-ci,buildah,warm,43.71,6.98,38.1,58.27
gitlab-ci,buildkit,cold,0.0,0.0,0.0,0.0
gitlab-ci,buildkit,dirty,0.0,0.0,0.0,0.0
gitlab-ci,buildkit,warm,0.0,0.0,0.0,0.0
gitlab-ci,kaniko,cold,0.0,0.0,0.0,0.0
gitlab-ci,kaniko,dirty,0.0,0.0,0.0,0.0
gitlab-ci,kaniko,warm,0.0,0.0,0.0,0.0
gitlab-ci-k8s,kaniko,cold,0.0,0.0,0.0,0.0
gitlab-ci-selfhosted,kaniko,cold,0.0,0.0,0.0,0.0
